2024-08-09T23:09:15-03:00
Running C:\Dev\freyr-benchmarks/build/MSVC/Release/Release/freyr-benchmarks.exe
Run on (28 X 2594 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x14)
  L1 Instruction 32 KiB (x14)
  L2 Unified 256 KiB (x14)
  L3 Unified 35840 KiB (x1)
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_OOP_Update_Fragmented/1",263529412,2.51591,2.49023,ns,,,,,
"BM_OOP_Update_Fragmented/2",154482759,4.62026,4.55148,ns,,,,,
"BM_OOP_Update_Fragmented/4",89600000,8.52342,8.37054,ns,,,,,
"BM_OOP_Update_Fragmented/8",44800000,16.2533,16.0435,ns,,,,,
"BM_OOP_Update_Fragmented/16",22400000,32.2953,32.7846,ns,,,,,
"BM_OOP_Update_Fragmented/32",11200000,68.6594,68.3594,ns,,,,,
"BM_OOP_Update_Fragmented/64",4977778,130.826,128.697,ns,,,,,
"BM_OOP_Update_Fragmented/128",2635294,257.583,260.882,ns,,,,,
"BM_OOP_Update_Fragmented/256",1000000,507.019,515.625,ns,,,,,
"BM_OOP_Update_Fragmented/512",640000,1008.71,1000.98,ns,,,,,
"BM_OOP_Update_Fragmented/1024",344615,2032.08,2040.32,ns,,,,,
"BM_OOP_Update_Fragmented/2048",172308,4093.45,4080.63,ns,,,,,
"BM_OOP_Update_Fragmented/4096",89600,8198.78,7847.38,ns,,,,,
"BM_OOP_Update_Fragmented/8192",34462,20624.7,20856.3,ns,,,,,
"BM_OOP_Update_Fragmented/16384",14933,45896.5,43946.3,ns,,,,,
"BM_OOP_Update_Fragmented/32768",7467,92940.2,94164.3,ns,,,,,
"BM_OOP_Update_Fragmented/65536",4073,182785,176467,ns,,,,,
"BM_OOP_Update_Fragmented/131072",1867,377474,376607,ns,,,,,
"BM_OOP_Update_Fragmented/262144",896,719094,680106,ns,,,,,
"BM_OOP_Update_Fragmented/524288",448,1.61876e+06,1.56948e+06,ns,,,,,
"BM_OOP_Update_Fragmented/1048576",112,7.18613e+06,6.97545e+06,ns,,,,,
"BM_OOP_Update_Fragmented/2097152",50,1.50517e+07,1.5e+07,ns,,,,,
"BM_OOP_Update_Fragmented/4194304",22,3.05638e+07,2.98295e+07,ns,,,,,
"BM_OOP_Update_Fragmented/8388608",11,6.12302e+07,6.10795e+07,ns,,,,,
"BM_OOP_Update_Fragmented/10000000",9,7.04089e+07,6.59722e+07,ns,,,,,
"BM_OOP_Update_Contiguous/1",224000000,2.51846,2.58092,ns,,,,,
"BM_OOP_Update_Contiguous/2",172307692,4.37704,4.35268,ns,,,,,
