name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"ConjuntoTrabalho_PorSistema/10000/iterations:10/repeats:100_mean",100,97077.4,85311.6,ns,,,,,
"ConjuntoTrabalho_PorSistema/10000/iterations:10/repeats:100_median",100,86666.7,85348.1,ns,,,,,
"ConjuntoTrabalho_PorSistema/10000/iterations:10/repeats:100_stddev",100,29452.6,3418,ns,,,,,
"ConjuntoTrabalho_PorSistema/10000/iterations:10/repeats:100_cv",100,0.303393,0.0400648,,,,,,
"ConjuntoTrabalho_PorObjeto/10000/iterations:10/repeats:100_mean",100,37707.1,37611,ns,,,,,
"ConjuntoTrabalho_PorObjeto/10000/iterations:10/repeats:100_median",100,37547.8,37283.8,ns,,,,,
"ConjuntoTrabalho_PorObjeto/10000/iterations:10/repeats:100_stddev",100,1304.2,1264.56,ns,,,,,
"ConjuntoTrabalho_PorObjeto/10000/iterations:10/repeats:100_cv",100,0.0345876,0.033622,,,,,,
"ConjuntoTrabalho_PorBlocos/10000/iterations:10/repeats:100_mean",100,44068.7,44009,ns,,,,,
"ConjuntoTrabalho_PorBlocos/10000/iterations:10/repeats:100_median",100,43835.4,43618.6,ns,,,,,
"ConjuntoTrabalho_PorBlocos/10000/iterations:10/repeats:100_stddev",100,1453.98,1428.84,ns,,,,,
"ConjuntoTrabalho_PorBlocos/10000/iterations:10/repeats:100_cv",100,0.0329936,0.0324671,,,,,,
