n,deslocamento,x,y
0,0,0,0
1,8,0,8
2,4,0,4
3,12,0,12
4,118,1,18
5,132,1,32
6,136,1,36
7,140,1,40
8,144,1,44
9,166,1,66
10,170,1,70
11,174,1,74
12,178,1,78
13,182,1,82
14,186,1,86
15,190,1,90
16,194,1,94
17,232,2,32
18,236,2,36
19,240,2,40
20,244,2,44
21,248,2,48
22,252,2,52
23,256,2,56
24,260,2,60
25,264,2,64
26,268,2,68
27,272,2,72
28,276,2,76
29,280,2,80
30,284,2,84
31,288,2,88
32,292,2,92
33,362,3,62
34,366,3,66
35,370,3,70
36,374,3,74
37,378,3,78
38,382,3,82
39,386,3,86
40,390,3,90
41,394,3,94
42,398,3,98
43,402,4,2
44,406,4,6
45,410,4,10
46,414,4,14
47,418,4,18
48,422,4,22
49,426,4,26
50,430,4,30
51,434,4,34
52,438,4,38
53,442,4,42
54,446,4,46
55,450,4,50
56,454,4,54
57,458,4,58
58,462,4,62
59,466,4,66
60,470,4,70
61,474,4,74
62,478,4,78
63,482,4,82
64,486,4,86
65,620,6,20
66,624,6,24
67,628,6,28
68,632,6,32
69,636,6,36
70,640,6,40
71,644,6,44
72,648,6,48
73,652,6,52
74,656,6,56
75,660,6,60
76,664,6,64
77,668,6,68
78,672,6,72
79,676,6,76
80,680,6,80
81,684,6,84
82,688,6,88
83,692,6,92
84,696,6,96
85,700,7,0
86,704,7,4
87,708,7,8
88,712,7,12
89,716,7,16
90,720,7,20
91,724,7,24
92,728,7,28
93,732,7,32
94,736,7,36
95,740,7,40
96,744,7,44
97,748,7,48
98,752,7,52
99,756,7,56
100,760,7,60
101,764,7,64
102,768,7,68
103,772,7,72
104,776,7,76
105,780,7,80
106,784,7,84
107,788,7,88
108,792,7,92
109,796,7,96
110,800,8,0
111,804,8,4
112,808,8,8
113,812,8,12
114,816,8,16
115,820,8,20
116,824,8,24
117,828,8,28
118,832,8,32
119,836,8,36
120,840,8,40
121,844,8,44
122,848,8,48
123,852,8,52
124,856,8,56
125,860,8,60
126,864,8,64
127,868,8,68
128,872,8,72
129,1134,11,34
130,1138,11,38
131,1142,11,42
132,1146,11,46
133,1150,11,50
134,1154,11,54
135,1158,11,58
136,1162,11,62
137,1166,11,66
138,1170,11,70
139,1174,11,74
140,1178,11,78
141,1182,11,82
142,1186,11,86
143,1190,11,90
144,1194,11,94
145,1198,11,98
146,1202,12,2
147,1206,12,6
148,1210,12,10
149,1214,12,14
150,1218,12,18
151,1222,12,22
152,1226,12,26
153,1230,12,30
154,1234,12,34
155,1238,12,38
156,1242,12,42
157,1246,12,46
158,1250,12,50
159,1254,12,54
160,1258,12,58
161,1262,12,62
162,1266,12,66
163,1270,12,70
164,1274,12,74
165,1278,12,78
166,1282,12,82
167,1286,12,86
168,1290,12,90
169,1294,12,94
170,1298,12,98
171,1302,13,2
172,1306,13,6
173,1310,13,10
174,1314,13,14
175,1318,13,18
176,1322,13,22
177,1326,13,26
178,1330,13,30
179,1334,13,34
180,1338,13,38
181,1342,13,42
182,1346,13,46
183,1350,13,50
184,1354,13,54
185,1358,13,58
186,1362,13,62
187,1366,13,66
188,1370,13,70
189,1374,13,74
190,1378,13,78
191,1382,13,82
192,1386,13,86
193,1390,13,90
194,1394,13,94
195,1398,13,98
196,1402,14,2
197,1406,14,6
198,1410,14,10
199,1414,14,14
200,1418,14,18
201,1422,14,22
202,1426,14,26
203,1430,14,30
204,1434,14,34
205,1438,14,38
206,1442,14,42
207,1446,14,46
208,1450,14,50
209,1454,14,54
210,1458,14,58
211,1462,14,62
212,1466,14,66
213,1470,14,70
214,1474,14,74
215,1478,14,78
216,1482,14,82
217,1486,14,86
218,1490,14,90
219,1494,14,94
220,1498,14,98
221,1502,15,2
222,1506,15,6
223,1510,15,10
224,1514,15,14
225,1518,15,18
226,1522,15,22
227,1526,15,26
228,1530,15,30
229,1534,15,34
230,1538,15,38
231,1542,15,42
232,1546,15,46
233,1550,15,50
234,1554,15,54
235,1558,15,58
236,1562,15,62
237,1566,15,66
238,1570,15,70
239,1574,15,74
240,1578,15,78
241,1582,15,82
242,1586,15,86
243,1590,15,90
244,1594,15,94
245,1598,15,98
246,1602,16,2
247,1606,16,6
248,1610,16,10
249,1614,16,14
250,1618,16,18
251,1622,16,22
252,1626,16,26
253,1630,16,30
254,1634,16,34
255,1638,16,38
256,1642,16,42
257,876,8,76
258,880,8,80
259,884,8,84
260,888,8,88
261,892,8,92
262,896,8,96
263,900,9,0
264,904,9,4
265,908,9,8
266,912,9,12
267,916,9,16
268,920,9,20
269,924,9,24
270,928,9,28
271,932,9,32
272,936,9,36
273,940,9,40
274,944,9,44
275,948,9,48
276,952,9,52
277,956,9,56
278,960,9,60
279,964,9,64
280,968,9,68
281,972,9,72
282,976,9,76
283,980,9,80
284,984,9,84
285,988,9,88
286,992,9,92
287,996,9,96
288,1000,10,0
289,1004,10,4
290,1008,10,8
291,1012,10,12
292,1016,10,16
293,1020,10,20
294,1024,10,24
295,1028,10,28
296,1032,10,32
297,1036,10,36
298,1040,10,40
299,1044,10,44
300,1048,10,48
301,1052,10,52
302,1056,10,56
303,1060,10,60
304,1064,10,64
305,1068,10,68
306,1072,10,72
307,1076,10,76
308,1080,10,80
309,1084,10,84
310,1088,10,88
311,1092,10,92
312,1096,10,96
313,1100,11,0
314,1104,11,4
315,1108,11,8
316,1112,11,12
317,1116,11,16
318,1120,11,20
319,1124,11,24
320,1128,11,28
321,2160,21,60
322,2164,21,64
323,2168,21,68
324,2172,21,72
325,2176,21,76
326,2180,21,80
327,2184,21,84
328,2188,21,88
329,2192,21,92
330,2196,21,96
331,2200,22,0
332,2204,22,4
333,2208,22,8
334,2212,22,12
335,2216,22,16
336,2220,22,20
337,2224,22,24
338,2228,22,28
339,2232,22,32
340,2236,22,36
341,2240,22,40
342,2244,22,44
343,2248,22,48
344,2252,22,52
345,2256,22,56
346,2260,22,60
347,2264,22,64
348,2268,22,68
349,2272,22,72
350,2276,22,76
351,2280,22,80
352,2284,22,84
353,2288,22,88
354,2292,22,92
355,2296,22,96
356,2300,23,0
357,2304,23,4
358,2308,23,8
359,2312,23,12
360,2316,23,16
361,2320,23,20
362,2324,23,24
363,2328,23,28
364,2332,23,32
365,2336,23,36
366,2340,23,40
367,2344,23,44
368,2348,23,48
369,2352,23,52
370,2356,23,56
371,2360,23,60
372,2364,23,64
373,2368,23,68
374,2372,23,72
375,2376,23,76
376,2380,23,80
377,2384,23,84
378,2388,23,88
379,2392,23,92
380,2396,23,96
381,2400,24,0
382,2404,24,4
383,2408,24,8
384,2412,24,12
385,2416,24,16
386,2420,24,20
387,2424,24,24
388,2428,24,28
389,2432,24,32
390,2436,24,36
391,2440,24,40
392,2444,24,44
393,2448,24,48
394,2452,24,52
395,2456,24,56
396,2460,24,60
397,2464,24,64
398,2468,24,68
399,2472,24,72
400,2476,24,76
401,2480,24,80
402,2484,24,84
403,2488,24,88
404,2492,24,92
405,2496,24,96
406,2500,25,0
407,2504,25,4
408,2508,25,8
409,2512,25,12
410,2516,25,16
411,2520,25,20
412,2524,25,24
413,2528,25,28
414,2532,25,32
415,2536,25,36
416,2540,25,40
417,2544,25,44
418,2548,25,48
419,2552,25,52
420,2556,25,56
421,2560,25,60
422,2564,25,64
423,2568,25,68
424,2572,25,72
425,2576,25,76
426,2580,25,80
427,2584,25,84
428,2588,25,88
429,2592,25,92
430,2596,25,96
431,2600,26,0
432,2604,26,4
433,2608,26,8
434,2612,26,12
435,2616,26,16
436,2620,26,20
437,2624,26,24
438,2628,26,28
439,2632,26,32
440,2636,26,36
441,2640,26,40
442,2644,26,44
443,2648,26,48
444,2652,26,52
445,2656,26,56
446,2660,26,60
447,2664,26,64
448,2668,26,68
449,2672,26,72
450,2676,26,76
451,2680,26,80
452,2684,26,84
453,2688,26,88
454,2692,26,92
455,2696,26,96
456,2700,27,0
457,2704,27,4
458,2708,27,8
459,2712,27,12
460,2716,27,16
461,2720,27,20
462,2724,27,24
463,2728,27,28
464,2732,27,32
465,2736,27,36
466,2740,27,40
467,2744,27,44
468,2748,27,48
469,2752,27,52
470,2756,27,56
471,2760,27,60
472,2764,27,64
473,2768,27,68
474,2772,27,72
475,2776,27,76
476,2780,27,80
477,2784,27,84
478,2788,27,88
479,2792,27,92
480,2796,27,96
481,2800,28,0
482,2804,28,4
483,2808,28,8
484,2812,28,12
485,2816,28,16
486,2820,28,20
487,2824,28,24
488,2828,28,28
489,2832,28,32
490,2836,28,36
491,2840,28,40
492,2844,28,44
493,2848,28,48
494,2852,28,52
495,2856,28,56
496,2860,28,60
497,2864,28,64
498,2868,28,68
499,2872,28,72
500,2876,28,76
501,2880,28,80
502,2884,28,84
503,2888,28,88
504,2892,28,92
505,2896,28,96
506,2900,29,0
507,2904,29,4
508,2908,29,8
509,2912,29,12
510,2916,29,16
511,2920,29,20
512,2924,29,24
