name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"ECS_Iteracao_EnTT_TBB/4000000/iterations:1000",1000,9.78484e+06,8.8926e+06,ns,,,,,
"ECS_Iteracao_EnTT_TBB/5000000/iterations:1000",1000,1.1426e+07,1.11134e+07,ns,,,,,
"ECS_Iteracao_EnTT_TBB/6000000/iterations:1000",1000,1.36425e+07,1.32815e+07,ns,,,,,
"ECS_Iteracao_EnTT_TBB/7000000/iterations:1000",1000,1.59694e+07,1.52469e+07,ns,,,,,
"ECS_Iteracao_EnTT_TBB/8000000/iterations:1000",1000,1.81271e+07,1.77926e+07,ns,,,,,
"ECS_Iteracao_EnTT_TBB/9000000/iterations:1000",1000,2.0367e+07,1.99745e+07,ns,,,,,
"ECS_Iteracao_EnTT_TBB/10000000/iterations:1000",1000,2.2613e+07,2.18734e+07,ns,,,,,
"ECS_Iteracao_Freyr_RouboTrabalho/4000000/iterations:1000",1000,6.40922e+06,1.46867e+06,ns,,,,,
"ECS_Iteracao_Freyr_RouboTrabalho/5000000/iterations:1000",1000,8.09854e+06,1.64662e+06,ns,,,,,
"ECS_Iteracao_Freyr_RouboTrabalho/6000000/iterations:1000",1000,9.67868e+06,2.12089e+06,ns,,,,,
"ECS_Iteracao_Freyr_RouboTrabalho/7000000/iterations:1000",1000,1.13308e+07,2.44584e+06,ns,,,,,
"ECS_Iteracao_Freyr_RouboTrabalho/8000000/iterations:1000",1000,1.28914e+07,3.61391e+06,ns,,,,,
"ECS_Iteracao_Freyr_RouboTrabalho/9000000/iterations:1000",1000,1.44635e+07,4.63952e+06,ns,,,,,
"ECS_Iteracao_Freyr_RouboTrabalho/10000000/iterations:1000",1000,1.60986e+07,5.52152e+06,ns,,,,,
"ECS_Iteracao_Flecs_Multi/4000000/iterations:1000",1000,7.16808e+06,1.8097e+06,ns,,,,,
"ECS_Iteracao_Flecs_Multi/5000000/iterations:1000",1000,1.03953e+07,2.24516e+06,ns,,,,,
"ECS_Iteracao_Flecs_Multi/6000000/iterations:1000",1000,1.16099e+07,3.06837e+06,ns,,,,,
"ECS_Iteracao_Flecs_Multi/7000000/iterations:1000",1000,1.66493e+07,3.74911e+06,ns,,,,,
"ECS_Iteracao_Flecs_Multi/8000000/iterations:1000",1000,1.51598e+07,4.29605e+06,ns,,,,,
"ECS_Iteracao_Flecs_Multi/9000000/iterations:1000",1000,1.71763e+07,4.90619e+06,ns,,,,,
"ECS_Iteracao_Flecs_Multi/10000000/iterations:1000",1000,1.84639e+07,5.8332e+06,ns,,,,,
