name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"ECS_Iteracao_Freyr/4000000/512/iterations:1000",1000,2.19758e+07,2.19074e+07,ns,,,,,
"ECS_Iteracao_Freyr/5000000/512/iterations:1000",1000,2.73914e+07,2.73369e+07,ns,,,,,
"ECS_Iteracao_Freyr/6000000/512/iterations:1000",1000,3.34372e+07,3.33692e+07,ns,,,,,
"ECS_Iteracao_Freyr/7000000/512/iterations:1000",1000,3.84265e+07,3.8348e+07,ns,,,,,
"ECS_Iteracao_Freyr/8000000/512/iterations:1000",1000,4.30258e+07,4.29417e+07,ns,,,,,
"ECS_Iteracao_Freyr/9000000/512/iterations:1000",1000,4.86925e+07,4.85995e+07,ns,,,,,
"ECS_Iteracao_Freyr/10000000/512/iterations:1000",1000,5.53213e+07,5.52266e+07,ns,,,,,
"ECS_Iteracao_Freyr/4000000/4096/iterations:1000",1000,1.70884e+07,1.70556e+07,ns,,,,,
"ECS_Iteracao_Freyr/5000000/4096/iterations:1000",1000,2.17675e+07,2.17214e+07,ns,,,,,
"ECS_Iteracao_Freyr/6000000/4096/iterations:1000",1000,2.58836e+07,2.58222e+07,ns,,,,,
"ECS_Iteracao_Freyr/7000000/4096/iterations:1000",1000,3.01217e+07,3.00609e+07,ns,,,,,
"ECS_Iteracao_Freyr/8000000/4096/iterations:1000",1000,3.4701e+07,3.46195e+07,ns,,,,,
"ECS_Iteracao_Freyr/9000000/4096/iterations:1000",1000,3.85863e+07,3.85031e+07,ns,,,,,
"ECS_Iteracao_Freyr/10000000/4096/iterations:1000",1000,4.23846e+07,4.22965e+07,ns,,,,,
"ECS_Iteracao_Entt/4000000/iterations:1000",1000,1.92246e+07,1.91911e+07,ns,,,,,
"ECS_Iteracao_Entt/5000000/iterations:1000",1000,2.40416e+07,2.39979e+07,ns,,,,,
"ECS_Iteracao_Entt/6000000/iterations:1000",1000,2.86643e+07,2.86117e+07,ns,,,,,
"ECS_Iteracao_Entt/7000000/iterations:1000",1000,3.33547e+07,3.32943e+07,ns,,,,,
"ECS_Iteracao_Entt/8000000/iterations:1000",1000,3.80708e+07,3.80006e+07,ns,,,,,
"ECS_Iteracao_Entt/9000000/iterations:1000",1000,4.28141e+07,4.27383e+07,ns,,,,,
"ECS_Iteracao_Entt/10000000/iterations:1000",1000,4.75804e+07,4.7495e+07,ns,,,,,
"ECS_Iteracao_Flecs/4000000/iterations:1000",1000,1.40752e+07,1.40459e+07,ns,,,,,
"ECS_Iteracao_Flecs/5000000/iterations:1000",1000,1.76199e+07,1.75875e+07,ns,,,,,
"ECS_Iteracao_Flecs/6000000/iterations:1000",1000,2.05199e+07,2.04839e+07,ns,,,,,
"ECS_Iteracao_Flecs/7000000/iterations:1000",1000,2.41951e+07,2.41539e+07,ns,,,,,
"ECS_Iteracao_Flecs/8000000/iterations:1000",1000,2.75443e+07,2.74989e+07,ns,,,,,
"ECS_Iteracao_Flecs/9000000/iterations:1000",1000,3.08813e+07,3.083e+07,ns,,,,,
"ECS_Iteracao_Flecs/10000000/iterations:1000",1000,3.45217e+07,3.44471e+07,ns,,,,,
