name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"ECS_Particionamento_Entt/1000",1779,391686,391099,ns,,,,,
"ECS_Particionamento_Entt/10900",102,6.86366e+06,6.8528e+06,ns,,,,,
"ECS_Particionamento_Entt/20800",51,1.41329e+07,1.41113e+07,ns,,,,,
"ECS_Particionamento_Entt/30700",29,2.28467e+07,2.28102e+07,ns,,,,,
"ECS_Particionamento_Entt/40600",21,3.30326e+07,3.2982e+07,ns,,,,,
"ECS_Particionamento_Entt/50500",16,4.30424e+07,4.29736e+07,ns,,,,,
"ECS_Particionamento_Entt/60400",14,5.15671e+07,5.14853e+07,ns,,,,,
"ECS_Particionamento_Entt/70300",11,6.19812e+07,6.18856e+07,ns,,,,,
"ECS_Particionamento_Entt/80200",10,7.19424e+07,7.18261e+07,ns,,,,,
"ECS_Particionamento_Entt/90100",9,8.00869e+07,7.99558e+07,ns,,,,,
"ECS_Particionamento_Entt/100000",8,8.90891e+07,8.8954e+07,ns,,,,,
"ECS_Particionamento_Freyr/1000",1764,399350,398881,ns,,,,,
"ECS_Particionamento_Freyr/10900",102,6.8385e+06,6.82963e+06,ns,,,,,
"ECS_Particionamento_Freyr/20800",50,1.39586e+07,1.39105e+07,ns,,,,,
"ECS_Particionamento_Freyr/30700",29,2.32484e+07,2.31954e+07,ns,,,,,
"ECS_Particionamento_Freyr/40600",21,3.37061e+07,3.33387e+07,ns,,,,,
"ECS_Particionamento_Freyr/50500",16,4.52873e+07,4.36669e+07,ns,,,,,
"ECS_Particionamento_Freyr/60400",13,5.72173e+07,5.32189e+07,ns,,,,,
"ECS_Particionamento_Freyr/70300",11,6.26789e+07,6.22131e+07,ns,,,,,
"ECS_Particionamento_Freyr/80200",10,7.25973e+07,7.19734e+07,ns,,,,,
"ECS_Particionamento_Freyr/90100",8,8.21959e+07,8.18799e+07,ns,,,,,
"ECS_Particionamento_Freyr/100000",8,9.22457e+07,9.21073e+07,ns,,,,,
"ECS_Iteracao_Flecs/1000",1757,398127,397482,ns,,,,,
"ECS_Iteracao_Flecs/10900",105,6.64647e+06,6.6386e+06,ns,,,,,
"ECS_Iteracao_Flecs/20800",50,1.41699e+07,1.40742e+07,ns,,,,,
"ECS_Iteracao_Flecs/30700",30,2.32959e+07,2.32353e+07,ns,,,,,
"ECS_Iteracao_Flecs/40600",21,3.34433e+07,3.33658e+07,ns,,,,,
"ECS_Iteracao_Flecs/50500",16,4.36615e+07,4.27311e+07,ns,,,,,
"ECS_Iteracao_Flecs/60400",13,5.47922e+07,5.4253e+07,ns,,,,,
"ECS_Iteracao_Flecs/70300",11,6.5412e+07,6.43222e+07,ns,,,,,
"ECS_Iteracao_Flecs/80200",9,7.35704e+07,7.3422e+07,ns,,,,,
"ECS_Iteracao_Flecs/90100",8,8.36488e+07,8.35211e+07,ns,,,,,
"ECS_Iteracao_Flecs/100000",8,9.35178e+07,9.33199e+07,ns,,,,,
"ECS_Particionamento_Entt_TBB/1000",4393,189764,160990,ns,,,,,
"ECS_Particionamento_Entt_TBB/10900",416,2.03397e+06,1.58132e+06,ns,,,,,
"ECS_Particionamento_Entt_TBB/20800",251,3.9633e+06,2.67797e+06,ns,,,,,
"ECS_Particionamento_Entt_TBB/30700",144,7.10964e+06,5.14472e+06,ns,,,,,
"ECS_Particionamento_Entt_TBB/40600",100,9.9833e+06,7.11896e+06,ns,,,,,
"ECS_Particionamento_Entt_TBB/50500",99,1.14612e+07,9.20896e+06,ns,,,,,
"ECS_Particionamento_Entt_TBB/60400",53,1.32636e+07,1.19945e+07,ns,,,,,
"ECS_Particionamento_Entt_TBB/70300",70,1.64916e+07,1.15164e+07,ns,,,,,
"ECS_Particionamento_Entt_TBB/80200",66,1.70261e+07,1.23267e+07,ns,,,,,
"ECS_Particionamento_Entt_TBB/90100",63,2.0579e+07,1.17718e+07,ns,,,,,
"ECS_Particionamento_Entt_TBB/100000",53,2.42733e+07,1.24768e+07,ns,,,,,
"ECS_Particionamento_Freyr_Assinc/1000",10000,302129,21133.9,ns,,,,,
"ECS_Particionamento_Freyr_Assinc/10900",10000,1.59677e+06,46547.2,ns,,,,,
"ECS_Particionamento_Freyr_Assinc/20800",1000,2.93183e+06,76798.1,ns,,,,,
"ECS_Particionamento_Freyr_Assinc/30700",1000,6.27063e+06,93594.4,ns,,,,,
"ECS_Particionamento_Freyr_Assinc/40600",1000,1.08266e+07,121736,ns,,,,,
"ECS_Particionamento_Freyr_Assinc/50500",1000,1.17236e+07,145409,ns,,,,,
"ECS_Particionamento_Freyr_Assinc/60400",1000,1.27068e+07,166873,ns,,,,,
"ECS_Particionamento_Freyr_Assinc/70300",1000,1.42685e+07,194104,ns,,,,,
"ECS_Particionamento_Freyr_Assinc/80200",1000,1.72887e+07,225519,ns,,,,,
"ECS_Particionamento_Freyr_Assinc/90100",1000,1.83359e+07,252916,ns,,,,,
"ECS_Particionamento_Freyr_Assinc/100000",1000,1.92219e+07,266241,ns,,,,,
"ECS_Iteracao_Flecs_Multi/1000",10000,489393,91190,ns,,,,,
"ECS_Iteracao_Flecs_Multi/10900",1000,4.16066e+06,613447,ns,,,,,
"ECS_Iteracao_Flecs_Multi/20800",594,8.63275e+06,1.23386e+06,ns,,,,,
"ECS_Iteracao_Flecs_Multi/30700",400,1.25041e+07,1.90026e+06,ns,,,,,
"ECS_Iteracao_Flecs_Multi/40600",285,1.66393e+07,2.4305e+06,ns,,,,,
"ECS_Iteracao_Flecs_Multi/50500",183,2.08742e+07,3.23967e+06,ns,,,,,
"ECS_Iteracao_Flecs_Multi/60400",100,2.76651e+07,3.97779e+06,ns,,,,,
"ECS_Iteracao_Flecs_Multi/70300",100,3.15191e+07,4.8084e+06,ns,,,,,
"ECS_Iteracao_Flecs_Multi/80200",131,3.26325e+07,5.44894e+06,ns,,,,,
"ECS_Iteracao_Flecs_Multi/90100",129,3.8156e+07,7.25734e+06,ns,,,,,
"ECS_Iteracao_Flecs_Multi/100000",108,3.91754e+07,9.01076e+06,ns,,,,,
