name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"ArranjoDeEstruturas_XYZ/1/iterations:1000",1000,4.78,2.886,ns,,,,,
"ArranjoDeEstruturas_XYZ/2/iterations:1000",1000,3.015,2.631,ns,,,,,
"ArranjoDeEstruturas_XYZ/4/iterations:1000",1000,1.913,1.804,ns,,,,,
"ArranjoDeEstruturas_XYZ/8/iterations:1000",1000,5.054,5.057,ns,,,,,
"ArranjoDeEstruturas_XYZ/16/iterations:1000",1000,3.003,2.93,ns,,,,,
"ArranjoDeEstruturas_XYZ/32/iterations:1000",1000,5.017,4.934,ns,,,,,
"ArranjoDeEstruturas_XYZ/64/iterations:1000",1000,5.239,5.145,ns,,,,,
"ArranjoDeEstruturas_XYZ/128/iterations:1000",1000,25.954,25.875,ns,,,,,
"ArranjoDeEstruturas_XYZ/256/iterations:1000",1000,18.062,17.898,ns,,,,,
"ArranjoDeEstruturas_XYZ/512/iterations:1000",1000,34.487,34.41,ns,,,,,
"ArranjoDeEstruturas_XYZ/1024/iterations:1000",1000,70.152,70.105,ns,,,,,
"ArranjoDeEstruturas_XYZ/2048/iterations:1000",1000,136.859,136.795,ns,,,,,
"ArranjoDeEstruturas_XYZ/4096/iterations:1000",1000,869.765,869.649,ns,,,,,
"ArranjoDeEstruturas_XYZ/8192/iterations:1000",1000,1741.56,1734.12,ns,,,,,
"ArranjoDeEstruturas_XYZ/16384/iterations:1000",1000,3589.23,3583.4,ns,,,,,
"ArranjoDeEstruturas_XYZ/32768/iterations:1000",1000,10160.5,10128.3,ns,,,,,
"ArranjoDeEstruturas_XYZ/65536/iterations:1000",1000,21635.6,21598.9,ns,,,,,
"ArranjoDeEstruturas_XYZ/131072/iterations:1000",1000,43029.9,42968.1,ns,,,,,
"ArranjoDeEstruturas_XYZ/262144/iterations:1000",1000,86984.2,86554.1,ns,,,,,
"ArranjoDeEstruturas_XYZ/524288/iterations:1000",1000,170835,170614,ns,,,,,
"ArranjoDeEstruturas_XYZ/1048576/iterations:1000",1000,336611,335910,ns,,,,,
"ArranjoDeEstruturas_XYZ/2097152/iterations:1000",1000,669950,668849,ns,,,,,
"ArranjoDeEstruturas_XYZ/4194304/iterations:1000",1000,2.83533e+06,2.82763e+06,ns,,,,,
"ArranjoDeEstruturas_XYZ/8388608/iterations:1000",1000,5.8171e+06,5.80203e+06,ns,,,,,
"ArranjoDeEstruturas_XYZ/10000000/iterations:1000",1000,6.93814e+06,6.92045e+06,ns,,,,,
"EstruturaDeArranjos_XYZ/1/iterations:1000",1000,3.94,3.371,ns,,,,,
"EstruturaDeArranjos_XYZ/2/iterations:1000",1000,3.14,2.98,ns,,,,,
"EstruturaDeArranjos_XYZ/4/iterations:1000",1000,2.035,1.933,ns,,,,,
"EstruturaDeArranjos_XYZ/8/iterations:1000",1000,2.708,2.647,ns,,,,,
"EstruturaDeArranjos_XYZ/16/iterations:1000",1000,3.018,2.923,ns,,,,,
"EstruturaDeArranjos_XYZ/32/iterations:1000",1000,3.742,3.655,ns,,,,,
"EstruturaDeArranjos_XYZ/64/iterations:1000",1000,19.368,19.306,ns,,,,,
"EstruturaDeArranjos_XYZ/128/iterations:1000",1000,25.74,25.671,ns,,,,,
