name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"MetodoUpdate_Polimorfismo/4000000/iterations:1000",1000,1.36386e+07,1.35752e+07,ns,,,,,
"MetodoUpdate_Polimorfismo/5000000/iterations:1000",1000,1.69905e+07,1.69164e+07,ns,,,,,
"MetodoUpdate_Polimorfismo/6000000/iterations:1000",1000,2.04238e+07,2.03276e+07,ns,,,,,
"MetodoUpdate_Polimorfismo/7000000/iterations:1000",1000,2.37154e+07,2.36127e+07,ns,,,,,
"MetodoUpdate_Polimorfismo/8000000/iterations:1000",1000,2.72072e+07,2.70861e+07,ns,,,,,
"MetodoUpdate_Polimorfismo/9000000/iterations:1000",1000,3.05822e+07,3.04405e+07,ns,,,,,
"MetodoUpdate_Polimorfismo/10000000/iterations:1000",1000,3.41844e+07,3.4032e+07,ns,,,,,
"MetodoUpdate_ChamadaDireta/4000000/iterations:1000",1000,5.70063e+06,5.67519e+06,ns,,,,,
"MetodoUpdate_ChamadaDireta/5000000/iterations:1000",1000,7.08115e+06,7.05076e+06,ns,,,,,
"MetodoUpdate_ChamadaDireta/6000000/iterations:1000",1000,8.48179e+06,8.44446e+06,ns,,,,,
"MetodoUpdate_ChamadaDireta/7000000/iterations:1000",1000,9.88946e+06,9.84813e+06,ns,,,,,
"MetodoUpdate_ChamadaDireta/8000000/iterations:1000",1000,1.14225e+07,1.13736e+07,ns,,,,,
"MetodoUpdate_ChamadaDireta/9000000/iterations:1000",1000,1.27654e+07,1.27101e+07,ns,,,,,
"MetodoUpdate_ChamadaDireta/10000000/iterations:1000",1000,1.41814e+07,1.41226e+07,ns,,,,,
