name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"MetodoUpdate_Virtual_Dinamico/4000000/iterations:1000",1000,1.70743e+07,1.70176e+07,ns,,,,,
"MetodoUpdate_Virtual_Dinamico/5000000/iterations:1000",1000,2.11721e+07,2.10989e+07,ns,,,,,
"MetodoUpdate_Virtual_Dinamico/6000000/iterations:1000",1000,2.54652e+07,2.5345e+07,ns,,,,,
"MetodoUpdate_Virtual_Dinamico/7000000/iterations:1000",1000,2.96863e+07,2.95309e+07,ns,,,,,
"MetodoUpdate_Virtual_Dinamico/8000000/iterations:1000",1000,3.38813e+07,3.37333e+07,ns,,,,,
"MetodoUpdate_Virtual_Dinamico/9000000/iterations:1000",1000,3.84315e+07,3.82344e+07,ns,,,,,
"MetodoUpdate_Virtual_Dinamico/10000000/iterations:1000",1000,4.23525e+07,4.21415e+07,ns,,,,,
"MetodoUpdate_Virtual_Contiguo/4000000/iterations:1000",1000,1.3821e+07,1.37544e+07,ns,,290816,,,
"MetodoUpdate_Virtual_Contiguo/5000000/iterations:1000",1000,1.75837e+07,1.74301e+07,ns,,286860,,,
"MetodoUpdate_Virtual_Contiguo/6000000/iterations:1000",1000,2.12454e+07,2.11041e+07,ns,,284305,,,
"MetodoUpdate_Virtual_Contiguo/7000000/iterations:1000",1000,2.44032e+07,2.42488e+07,ns,,288674,,,
"MetodoUpdate_Virtual_Contiguo/8000000/iterations:1000",1000,2.77923e+07,2.76315e+07,ns,,289525,,,
"MetodoUpdate_Virtual_Contiguo/9000000/iterations:1000",1000,3.10986e+07,3.09278e+07,ns,,291001,,,
"MetodoUpdate_Virtual_Contiguo/10000000/iterations:1000",1000,3.42308e+07,3.40721e+07,ns,,293495,,,
"MetodoUpdate_Direto_Dinamico/4000000/iterations:1000",1000,1.66207e+07,1.65371e+07,ns,,241880,,,
"MetodoUpdate_Direto_Dinamico/5000000/iterations:1000",1000,2.09676e+07,2.08408e+07,ns,,239914,,,
"MetodoUpdate_Direto_Dinamico/6000000/iterations:1000",1000,2.52915e+07,2.51258e+07,ns,,238798,,,
"MetodoUpdate_Direto_Dinamico/7000000/iterations:1000",1000,2.93636e+07,2.91994e+07,ns,,239731,,,
"MetodoUpdate_Direto_Dinamico/8000000/iterations:1000",1000,3.35563e+07,3.33241e+07,ns,,240066,,,
"MetodoUpdate_Direto_Dinamico/9000000/iterations:1000",1000,3.77106e+07,3.74791e+07,ns,,240134,,,
"MetodoUpdate_Direto_Dinamico/10000000/iterations:1000",1000,4.17395e+07,4.15109e+07,ns,,240901,,,
"MetodoUpdate_Direto_Contiguo/4000000/iterations:1000",1000,5.53564e+06,5.51342e+06,ns,,725503,,,
"MetodoUpdate_Direto_Contiguo/5000000/iterations:1000",1000,7.02867e+06,7.00091e+06,ns,,714193,,,
"MetodoUpdate_Direto_Contiguo/6000000/iterations:1000",1000,8.44212e+06,8.40718e+06,ns,,713676,,,
"MetodoUpdate_Direto_Contiguo/7000000/iterations:1000",1000,9.81485e+06,9.77502e+06,ns,,716111,,,
"MetodoUpdate_Direto_Contiguo/8000000/iterations:1000",1000,1.1267e+07,1.12217e+07,ns,,712903,,,
"MetodoUpdate_Direto_Contiguo/9000000/iterations:1000",1000,1.26055e+07,1.25562e+07,ns,,716775,,,
"MetodoUpdate_Direto_Contiguo/10000000/iterations:1000",1000,1.41118e+07,1.40531e+07,ns,,711589,,,
