n,offset,x,y
0,0,0,0
1,114,1,14
2,110,1,10
3,118,1,18
4,128,1,28
5,122,1,22
6,142,1,42
7,146,1,46
8,150,1,50
9,132,1,32
10,136,1,36
11,154,1,54
12,158,1,58
13,2728,27,28
14,2732,27,32
15,2846,28,46
16,2786,27,86
17,2822,28,22
18,2778,27,78
19,2806,28,6
20,2834,28,34
21,2762,27,62
22,2782,27,82
23,2826,28,26
24,2790,27,90
25,2838,28,38
26,2798,27,98
27,2842,28,42
28,2850,28,50
29,2854,28,54
30,2750,27,50
31,2794,27,94
32,2830,28,30
33,2802,28,2
34,2858,28,58
35,2746,27,46
36,2754,27,54
37,2810,28,10
38,2758,27,58
39,2770,27,70
40,2766,27,66
41,2774,27,74
42,2814,28,14
43,2818,28,18
44,125566,1255,66
45,125558,1255,58
46,125734,1257,34
47,125642,1256,42
48,125630,1256,30
49,125646,1256,46
50,125550,1255,50
51,125614,1256,14
52,125582,1255,82
53,125690,1256,90
54,125718,1257,18
55,125586,1255,86
56,125554,1255,54
57,125626,1256,26
58,125698,1256,98
59,125522,1255,22
60,125562,1255,62
61,125634,1256,34
62,125738,1257,38
63,125574,1255,74
64,125650,1256,50
65,125606,1256,6
66,125570,1255,70
67,125722,1257,22
68,125730,1257,30
69,125638,1256,38
70,125670,1256,70
71,125598,1255,98
72,125762,1257,62
73,125686,1256,86
74,125706,1257,6
75,125654,1256,54
76,125590,1255,90
77,125542,1255,42
78,125742,1257,42
79,125610,1256,10
80,125594,1255,94
81,125578,1255,78
82,125710,1257,10
83,125526,1255,26
84,125702,1257,2
85,125602,1256,2
86,125530,1255,30
87,125538,1255,38
88,125534,1255,34
89,125666,1256,66
90,125618,1256,18
91,125658,1256,58
92,125682,1256,82
93,125546,1255,46
94,125622,1256,22
95,125662,1256,62
96,125694,1256,94
97,125674,1256,74
98,125678,1256,78
99,125714,1257,14
100,125726,1257,26
101,125746,1257,46
102,125750,1257,50
103,125754,1257,54
104,125758,1257,58
105,126106,1261,6
106,125930,1259,30
107,126078,1260,78
108,126134,1261,34
109,125998,1259,98
110,126010,1260,10
111,126110,1261,10
112,125942,1259,42
113,125922,1259,22
114,125966,1259,66
115,125934,1259,34
116,126050,1260,50
117,125958,1259,58
118,126062,1260,62
119,126022,1260,22
120,126138,1261,38
121,126026,1260,26
122,125986,1259,86
123,126030,1260,30
124,125970,1259,70
125,126014,1260,14
126,126066,1260,66
127,126018,1260,18
128,126038,1260,38
129,126054,1260,54
130,126058,1260,58
131,126086,1260,86
132,126094,1260,94
133,126114,1261,14
134,126034,1260,34
135,125962,1259,62
136,126142,1261,42
137,126082,1260,82
138,126042,1260,42
139,125954,1259,54
140,125946,1259,46
141,125990,1259,90
142,126002,1260,2
143,125994,1259,94
144,126122,1261,22
145,126126,1261,26
146,125926,1259,26
147,126006,1260,6
148,126070,1260,70
149,126074,1260,74
150,125974,1259,74
151,126146,1261,46
152,126046,1260,46
153,125978,1259,78
154,126118,1261,18
155,126130,1261,30
156,125982,1259,82
157,126150,1261,50
158,126090,1260,90
159,126098,1260,98
160,125938,1259,38
161,126102,1261,2
162,125910,1259,10
163,125914,1259,14
164,125918,1259,18
165,125950,1259,50
166,3266,32,66
167,3346,33,46
168,3310,33,10
169,3206,32,6
170,3134,31,34
171,3350,33,50
172,3162,31,62
173,3202,32,2
174,3186,31,86
175,3242,32,42
176,3278,32,78
177,3166,31,66
178,3354,33,54
179,3150,31,50
180,3358,33,58
181,3146,31,46
182,3282,32,82
183,3338,33,38
184,3362,33,62
185,3318,33,18
186,3154,31,54
187,3158,31,58
188,3170,31,70
189,3286,32,86
190,3174,31,74
191,3366,33,66
192,3142,31,42
193,3258,32,58
194,3290,32,90
195,3294,32,94
196,3250,32,50
197,3178,31,78
198,3322,33,22
199,3298,32,98
200,3374,33,74
201,3326,33,26
202,3370,33,70
203,3190,31,90
204,3138,31,38
205,3246,32,46
206,3238,32,38
207,3182,31,82
208,3302,33,2
209,3194,31,94
210,3198,31,98
211,3210,32,10
212,3214,32,14
213,3254,32,54
214,3218,32,18
215,3270,32,70
216,3222,32,22
217,3306,33,6
218,3226,32,26
219,3274,32,74
220,3230,32,30
221,3330,33,30
222,3234,32,34
223,3262,32,62
224,3314,33,14
225,3334,33,34
226,3342,33,42
227,3620,36,20
228,3508,35,8
229,3484,34,84
230,3568,35,68
231,3632,36,32
232,3572,35,72
233,3624,36,24
234,3436,34,36
235,3592,35,92
236,3564,35,64
237,3556,35,56
238,3444,34,44
239,3500,35,0
240,3528,35,28
241,3432,34,32
242,3416,34,16
243,3392,33,92
244,3396,33,96
245,3400,34,0
246,3552,35,52
247,3560,35,60
248,3468,34,68
249,3448,34,48
250,3512,35,12
251,3404,34,4
252,3412,34,12
253,3492,34,92
254,3452,34,52
255,3532,35,32
256,3548,35,48
257,3440,34,40
258,3540,35,40
259,3628,36,28
260,3408,34,8
261,3504,35,4
262,3420,34,20
263,3516,35,16
264,3588,35,88
265,3496,34,96
266,3576,35,76
267,3612,36,12
268,3460,34,60
269,3520,35,20
270,3584,35,84
271,3524,35,24
272,3616,36,16
273,3536,35,36
274,3424,34,24
275,3428,34,28
276,3456,34,56
277,3476,34,76
278,3580,35,80
279,3464,34,64
280,3596,35,96
281,3472,34,72
282,3480,34,80
283,3488,34,88
284,3600,36,0
285,3544,35,44
286,3604,36,4
287,3608,36,8
288,2904,29,4
289,2920,29,20
290,2936,29,36
291,2944,29,44
292,2912,29,12
293,3088,30,88
294,2996,29,96
295,2984,29,84
296,3000,30,0
297,2908,29,8
298,2968,29,68
299,2940,29,40
300,3044,30,44
301,3072,30,72
302,2948,29,48
303,2916,29,16
304,2980,29,80
305,3052,30,52
306,2876,28,76
307,2924,29,24
308,2988,29,88
309,3092,30,92
310,2928,29,28
311,3004,30,4
312,2960,29,60
313,2932,29,32
314,3076,30,76
315,3084,30,84
316,2992,29,92
317,3024,30,24
318,2952,29,52
319,3116,31,16
320,3040,30,40
321,3060,30,60
322,3008,30,8
323,2956,29,56
324,2896,28,96
325,3096,30,96
326,2964,29,64
327,2972,29,72
328,2976,29,76
329,3064,30,64
330,2880,28,80
331,3056,30,56
332,3012,30,12
333,2884,28,84
334,2892,28,92
335,2888,28,88
336,3020,30,20
337,3016,30,16
338,3028,30,28
339,3036,30,36
340,2900,29,0
341,3032,30,32
342,3048,30,48
343,3100,31,0
344,3068,30,68
345,3080,30,80
346,3104,31,4
347,3108,31,8
348,3112,31,12
349,4400,44,0
350,4360,43,60
351,4320,43,20
352,4184,41,84
353,4332,43,32
354,4212,42,12
355,4388,43,88
356,4252,42,52
357,4264,42,64
358,4364,43,64
359,4196,41,96
360,4176,41,76
361,4220,42,20
362,4188,41,88
363,4304,43,4
364,4216,42,16
365,4316,43,16
366,4276,42,76
367,4392,43,92
368,4280,42,80
369,4240,42,40
370,4284,42,84
371,4224,42,24
372,4268,42,68
373,4324,43,24
374,4272,42,72
375,4292,42,92
376,4308,43,8
377,4312,43,12
378,4340,43,40
379,4348,43,48
380,4368,43,68
381,4288,42,88
382,4228,42,28
383,4396,43,96
384,4336,43,36
385,4296,42,96
386,4208,42,8
387,4200,42,0
388,4244,42,44
389,4256,42,56
390,4248,42,48
391,4376,43,76
392,4380,43,80
393,4180,41,80
394,4260,42,60
395,4328,43,28
396,4344,43,44
397,4232,42,32
398,4404,44,4
399,4300,43,0
400,4236,42,36
401,4372,43,72
402,4384,43,84
403,4352,43,52
404,4164,41,64
405,4168,41,68
406,4356,43,56
407,4172,41,72
408,4204,42,4
409,4192,41,92
410,4554,45,54
411,4646,46,46
412,4510,45,10
413,4522,45,22
414,4622,46,22
415,4454,44,54
416,4434,44,34
417,4478,44,78
418,4442,44,42
419,4562,45,62
420,4470,44,70
421,4574,45,74
422,4534,45,34
423,4650,46,50
424,4538,45,38
425,4498,44,98
426,4542,45,42
427,4482,44,82
428,4526,45,26
429,4578,45,78
430,4530,45,30
431,4550,45,50
432,4566,45,66
433,4570,45,70
434,4598,45,98
435,4606,46,6
436,4626,46,26
437,4546,45,46
438,4474,44,74
439,4654,46,54
440,4590,45,90
441,4558,45,58
442,4466,44,66
443,4458,44,58
444,4502,45,2
445,4514,45,14
446,4506,45,6
447,4634,46,34
448,4638,46,38
449,4438,44,38
450,4518,45,18
451,4582,45,82
452,4586,45,86
453,4486,44,86
454,4658,46,58
455,4594,45,94
456,4490,44,90
457,4630,46,30
458,4642,46,42
459,4494,44,94
460,4662,46,62
461,4618,46,18
462,4602,46,2
463,4422,44,22
464,4446,44,46
465,4426,44,26
466,4610,46,10
467,4614,46,14
468,4462,44,62
469,4430,44,30
470,4450,44,50
471,4872,48,72
472,4912,49,12
473,4696,46,96
474,4812,48,12
475,4892,48,92
476,4856,48,56
477,4752,47,52
478,4680,46,80
479,4896,48,96
480,4708,47,8
481,4748,47,48
482,4732,47,32
483,4788,47,88
484,4824,48,24
485,4712,47,12
486,4900,49,0
487,4700,47,0
488,4904,49,4
489,4692,46,92
490,4828,48,28
491,4884,48,84
492,4908,49,8
493,4864,48,64
494,4704,47,4
495,4716,47,16
496,4720,47,20
497,4832,48,32
498,4724,47,24
499,4916,49,16
500,4688,46,88
501,4804,48,4
502,4836,48,36
503,4840,48,40
504,4796,47,96
505,4728,47,28
506,4868,48,68
507,4844,48,44
508,4920,49,20
509,4876,48,76
510,4684,46,84
511,4792,47,92
512,4736,47,36
513,4800,48,0
514,4808,48,8
515,4740,47,40
516,4848,48,48
517,4744,47,44
518,4756,47,56
519,4760,47,60
520,4764,47,64
521,4816,48,16
522,4768,47,68
523,4820,48,20
524,4772,47,72
525,4852,48,52
526,4776,47,76
527,4860,48,60
528,4780,47,80
529,4880,48,80
530,4888,48,88
531,4784,47,84
532,4132,41,32
533,4020,40,20
534,4004,40,4
535,3948,39,48
536,3908,39,8
537,4008,40,8
538,4088,40,88
539,3912,39,12
540,4092,40,92
541,4148,41,48
542,3960,39,60
543,4116,41,16
544,4096,40,96
545,4080,40,80
546,3968,39,68
547,4024,40,24
548,4052,40,52
549,3956,39,56
550,3940,39,40
551,3916,39,16
552,3920,39,20
553,3924,39,24
554,4076,40,76
555,4084,40,84
556,3992,39,92
557,3972,39,72
558,4032,40,32
559,3928,39,28
560,3936,39,36
561,4016,40,16
562,3976,39,76
563,4056,40,56
564,4072,40,72
565,3964,39,64
566,4064,40,64
567,3932,39,32
568,3944,39,44
569,4036,40,36
570,3952,39,52
571,4068,40,68
572,4144,41,44
573,4048,40,48
574,4112,41,12
575,3980,39,80
576,4028,40,28
577,4100,41,0
578,3984,39,84
579,4060,40,60
580,3988,39,88
581,4108,41,8
582,3996,39,96
583,4000,40,0
584,4012,40,12
585,4104,41,4
586,4128,41,28
587,4040,40,40
588,4044,40,44
589,4120,41,20
590,4124,41,24
591,4136,41,36
592,4140,41,40
593,3684,36,84
594,3660,36,60
595,3812,38,12
596,3652,36,52
597,3688,36,88
598,3700,37,0
599,3716,37,16
600,3724,37,24
601,3692,36,92
602,3872,38,72
603,3780,37,80
604,3764,37,64
605,3784,37,84
606,3696,36,96
607,3748,37,48
608,3720,37,20
609,3828,38,28
610,3860,38,60
611,3728,37,28
612,3704,37,4
613,3760,37,60
614,3836,38,36
615,3656,36,56
616,3708,37,8
617,3756,37,56
618,3876,38,76
619,3712,37,12
620,3776,37,76
621,3736,37,36
622,3680,36,80
623,3856,38,56
624,3868,38,68
625,3768,37,68
626,3804,38,4
627,3732,37,32
628,3900,39,0
629,3824,38,24
630,3840,38,40
631,3788,37,88
632,3740,37,40
633,3668,36,68
634,3880,38,80
635,3744,37,44
636,3752,37,52
637,3772,37,72
638,3844,38,44
639,3904,39,4
640,3832,38,32
641,3792,37,92
642,3664,36,64
643,3672,36,72
644,3676,36,76
645,3796,37,96
646,3800,38,0
647,3808,38,8
648,3816,38,16
649,3820,38,20
650,3864,38,64
651,3896,38,96
652,3848,38,48
653,3852,38,52
654,3884,38,84
655,3888,38,88
656,3892,38,92
657,6138,61,38
658,5974,59,74
659,6002,60,2
660,6066,60,66
661,6130,61,30
662,6106,61,6
663,6162,61,62
664,6006,60,6
665,6050,60,50
666,6134,61,34
667,6038,60,38
668,6166,61,66
669,6082,60,82
670,6170,61,70
671,6174,61,74
672,6198,61,98
673,5978,59,78
674,6058,60,58
675,6142,61,42
676,6086,60,86
677,6218,62,18
678,6206,62,6
679,6126,61,26
680,6014,60,14
681,5998,59,98
682,5982,59,82
683,6146,61,46
684,5966,59,66
